participant,group,dob,dot,age,gender,raw_gs1,raw_gs2,raw_gs3,raw_gs4,raw_gs5,raw_vn1,raw_vn2,raw_vn3,raw_vn4,raw_vn5,raw_co1,raw_co2,raw_co3,raw_co4,raw_co5,gs1,gs2,gs3,gs4,gs5,gs_average,vn1,vn2,vn3,vn4,vn5,vn_average,co1,co2,co3,co4,co5,co_average,crossed_gs1,crossed_gs2,crossed_gs3,crossed_gs4,crossed_gs5,crossed_vn1,crossed_vn2,crossed_vn3,crossed_vn4,crossed_vn5,crossed_co1,crossed_co2,crossed_co3,crossed_co4,crossed_co5,crossed_gs_average,crossed_vn_average,crossed_co_average,oq1,oq2,oq3,oq4,oq5,oq6,oq7,oq8,oq9,oq10,crossed_oq1,crossed_oq2,crossed_oq3,crossed_oq4,crossed_oq5,crossed_q6,crossed_oq7,crossed_oq8,crossed_oq9,crossed_oq10,crossed_ave_year_2,crossed_ave_reception,ave_open,crossed_ave_open,control_gs,control_vn,control_cq,control_oq
12,2,27/09/2012,02/03/2020,2713,M,A,C,B,D,D,D,A,A,D,C,B,A,D,B,A,0.167,0.3,0.2,0.1,0.333,0.22,0.467,0.233,0.167,0.233,0.333,0.287,0.276,0.433,0.655,0.3,0.733,0.48,0.72,0.28,0.56,0.08,0.08,0.48,0.12,0.32,0.4,0.32,0.16,0.08,0,0.52,0.16,0.344,0.328,0.184,0.133333333,0.066666667,0.466666667,0.033333333,0.166666667,0.033333333,0.033333333,0.033333333,0.133333333,0.133333333,0.04,0.04,0,0,0.52,0,0,0.04,0,0.92,0.211428571,,0.0875,0.211428571,0.533333333,0.8,0.966666667,0.266666667
13,2,11/12/2012,02/03/2020,2638,M,C,B,D,D,A,B,D,C,B,A,C,B,D,A,A,0.5,0.5,0.1,0.1,0.333,0.307,0.2,0.233,0.533,0.267,0.167,0.28,0.69,0.067,0.655,0.2,0.733,0.469,0.2,0.04,0.12,0.08,0.56,0.36,0.12,0.48,0.32,0.08,0.84,0.44,0,0.4,0.16,0.2,0.272,0.368,0.133333333,0,0.466666667,0.033333333,0.166666667,0.033333333,0.033333333,0.166666667,0.133333333,0.2,0.04,0,0,0,0.04,0,0,0,0,0,0.011428571,,0.1125,0.011428571,0.533333333,0.8,0.966666667,0.266666667
14,2,20/12/2013,02/03/2020,2264,F,A,B,A,B,B,C,B,D,C,D,B,D,D,B,A,0.167,0.5,0.467,0.167,0.167,0.293,0.2,0.233,0.167,0.233,0.367,0.24,0.276,0.133,0.655,0.3,0.733,0.42,0.72,0.04,0.24,0.08,0.2,0.04,0.6,0,0.04,0.32,0.16,0,0,0.52,0.16,0.256,0.2,0.168,0.5,0.1,0.466666667,0.1,0.033333333,0.1,0.033333333,0.033333333,0.516129032,0.033333333,0.28,0.04,0,0.12,0.04,0,0,0,0.24,0.92,0.228571429,,0.168682796,0.228571429,0.133333333,0.133333333,0.966666667,0.266666667
15,2,17/10/2012,02/03/2020,2693,M,C,B,D,C,B,A,D,C,A,D,C,C,C,C,A,0.5,0.5,0.1,0.633,0.167,0.38,0.133,0.233,0.533,0.267,0.367,0.307,0.69,0.367,0.207,0.167,0.733,0.433,0.2,0.04,0.12,0.08,0.2,0.12,0.12,0.48,0.24,0.32,0.84,0.48,1,0,0.16,0.128,0.256,0.496,0.133333333,0.033333333,0.033333333,0.066666667,0.096774194,0.133333333,0.033333333,0.066666667,0.516129032,0.033333333,0.04,0,0.04,0,0.52,0,0,0,0.24,0.92,0.245714286,,0.134946237,0.245714286,0.533333333,0.8,0.966666667,0.266666667
16,2,16/10/2012,02/03/2020,2694,M,D,C,C,B,C,A,C,B,C,B,C,D,D,B,A,0.233,0.3,0.233,0.167,0.167,0.22,0.133,0.3,0.133,0.233,0.133,0.187,0.69,0.133,0.655,0.3,0.733,0.502,0,0.28,0.08,0.08,0.16,0.12,0.16,0.2,0.04,0.28,0.84,0,0,0.52,0.16,0.12,0.16,0.304,0.5,0.1,0.466666667,0.1,0.133333333,0.033333333,0.033333333,0.033333333,0.516129032,0.2,0.28,0,0,0,0,0,0.24,0,0.24,0,0.108571429,,0.193682795,0.108571429,0.533333333,0.8,0.966666667,0.266666667
17,2,14/07/2013,02/03/2020,2423,F,C,B,B,B,B,C,C,D,D,A,C,A,A,A,A,0.5,0.5,0.2,0.167,0.167,0.307,0.2,0.3,0.167,0.233,0.167,0.213,0.69,0.433,0.103,0.2,0.733,0.432,0.2,0.04,0.56,0.08,0.2,0.04,0.16,0,0.4,0.08,0.84,0.08,0,0.4,0.16,0.216,0.136,0.296,0.5,0.1,0.266666667,0.166666667,0.033333333,0.066666667,0.066666667,0.033333333,0.516129032,0.033333333,0.28,0,0,0,0.08,0.2,0,0,0.24,0.92,0.245714286,,0.177016129,0.245714286,0.166666667,0.8,0.966666667,0.266666667
18,2,01/06/2013,02/03/2020,2466,F,C,A,C,C,C,C,B,C,B,B,C,C,D,A,A,0.5,0.133,0.233,0.633,0.167,0.333,0.2,0.233,0.533,0.267,0.133,0.273,0.69,0.367,0.655,0.2,0.733,0.529,0.2,0.52,0.08,0.08,0.16,0.04,0.6,0.48,0.32,0.28,0.84,0.48,0,0.4,0.16,0.208,0.344,0.376,0.166666667,0.066666667,0.033333333,0.2,0.096774194,0.033333333,0.033333333,0,0.133333333,0.266666667,0.52,0.04,0,0.44,0.52,0.08,0,0,0,0.92,0.354285714,,0.116263441,0.354285714,0.166666667,0.8,0.966666667,0.266666667
19,2,04/12/2012,02/03/2020,2645,M,C,D,A,C,D,D,B,C,D,D,C,A,D,B,A,0.5,0.067,0.467,0.633,0.333,0.4,0.467,0.233,0.533,0.233,0.367,0.367,0.69,0.433,0.655,0.3,0.733,0.562,0.2,0.16,0.24,0.08,0.08,0.48,0.6,0.48,0.4,0.32,0.84,0.08,0,0.52,0.16,0.152,0.456,0.32,0.133333333,0.033333333,0.466666667,0.1,0.033333333,0.066666667,0.033333333,0.066666667,0.133333333,0.033333333,0.04,0,0,0,0,0.2,0,0,0,0.92,0.165714286,,0.075,0.165714286,0.533333333,0.8,0.966666667,0.266666667
20,2,07/04/2013,02/03/2020,2521,M,A,B,A,C,D,D,B,C,C,C,B,C,D,A,D,0.167,0.5,0.467,0.633,0.333,0.42,0.467,0.233,0.533,0.233,0.333,0.36,0.276,0.367,0.655,0.2,0.067,0.313,0.72,0.04,0.24,0.08,0.08,0.48,0.6,0.48,0.04,0.32,0.16,0.48,0,0.4,0.44,0.232,0.384,0.296,0.133333333,0.1,0.066666667,0.2,0.033333333,0.033333333,0.033333333,0.066666667,0.133333333,0.066666667,0.04,0,0,0.4,0,0,0,0,0.48,0.04,0.137142857,,0.0875,0.137142857,0.166666667,0.8,0.966666667,0.266666667
21,2,12/07/2013,02/03/2020,2425,M,C,B,A,B,A,A,D,C,B,C,C,A,D,D,A,0.5,0.5,0.467,0.167,0.333,0.393,0.133,0.233,0.533,0.267,0.333,0.3,0.69,0.433,0.655,0.333,0.733,0.569,0.2,0.04,0.24,0.08,0.56,0.12,0.12,0.48,0.32,0.32,0.84,0.08,0,0.08,0.16,0.224,0.272,0.232,0.5,0.266666667,0.466666667,0.2,0.133333333,0.133333333,0.033333333,0.166666667,0.516129032,0.133333333,0.28,0,0,0.44,0,0,0,0,0.24,0.92,0.268571429,,0.227016129,0.268571429,0.166666667,0.8,0.966666667,0.266666667
22,2,31/08/2013,02/03/2020,2375,M,C,A,B,D,A,B,D,A,C,A,B,D,D,B,B,0.5,0.133,0.2,0.1,0.333,0.253,0.2,0.233,0.167,0.233,0.167,0.2,0.276,0.133,0.655,0.3,0.1,0.293,0.2,0.52,0.56,0.08,0.56,0.36,0.12,0.32,0.04,0.08,0.16,0,0,0.52,0.12,0.384,0.184,0.16,0.166666667,0.266666667,0.466666667,0.2,0.166666667,0.133333333,0.2,0.033333333,0.066666667,0.2,0.52,0,0,0.4,0.52,0,0,0,0.04,0,0.211428571,,0.145833333,0.211428571,0.533333333,0.133333333,0.966666667,0.266666667
23,2,11/02/2013,02/03/2020,2576,F,D,B,A,C,D,D,D,C,A,C,C,A,D,D,A,0.233,0.5,0.467,0.633,0.333,0.433,0.467,0.233,0.533,0.267,0.333,0.367,0.69,0.433,0.655,0.333,0.733,0.569,0,0.04,0.24,0.08,0.08,0.48,0.12,0.48,0.24,0.32,0.84,0.08,0,0.08,0.16,0.088,0.328,0.232,0.5,0.266666667,0.466666667,0.066666667,0.166666667,0.133333333,0.2,0.066666667,0.133333333,0.266666667,0.28,0,0,0,0.52,0,0,0,0.48,0.92,0.314285714,,0.191666667,0.314285714,0.166666667,0.8,0.966666667,0.266666667
24,2,03/03/2013,02/03/2020,2556,M,D,A,C,C,A,D,A,C,A,D,C,C,C,A,C,0.233,0.133,0.233,0.633,0.333,0.313,0.467,0.233,0.533,0.267,0.367,0.373,0.69,0.367,0.207,0.2,0.1,0.313,0,0.52,0.08,0.08,0.56,0.48,0.12,0.48,0.24,0.32,0.84,0.48,1,0.4,0.28,0.248,0.328,0.6,0.5,0.1,0.266666667,0.2,0.033333333,0.133333333,0.033333333,0.166666667,0.1,0.2,0.28,0,0,0.4,0,0,0,0,0,0,0.097142857,,0.170833333,0.097142857,0.166666667,0.8,0.966666667,0.133333333
25,2,23/05/2013,09/03/2020,2482,F,C,C,B,C,A,D,A,B,B,D,C,C,D,D,A,0.5,0.3,0.2,0.633,0.333,0.393,0.467,0.233,0.133,0.267,0.367,0.293,0.69,0.367,0.655,0.333,0.733,0.556,0.2,0.28,0.56,0.08,0.56,0.48,0.12,0.2,0.32,0.32,0.84,0.48,0,0.08,0.16,0.336,0.288,0.312,0.5,0.1,0.466666667,0.166666667,0.033333333,0.033333333,0.033333333,0.166666667,0.516129032,0.266666667,0.28,0.04,0,0,0,0,0,0,0.24,0.92,0.205714286,,0.214516129,0.205714286,0.533333333,0.8,0.966666667,0.133333333
26,2,23/05/2013,09/03/2020,2482,M,B,B,D,C,A,D,A,C,A,C,B,C,A,B,A,0.1,0.5,0.1,0.633,0.333,0.333,0.467,0.233,0.533,0.267,0.333,0.367,0.276,0.367,0.103,0.3,0.733,0.356,0.08,0.04,0.12,0.08,0.56,0.48,0.12,0.48,0.24,0.32,0.16,0.48,0,0.52,0.16,0.176,0.328,0.264,0.5,0.1,0.033333333,0.166666667,0.166666667,0.033333333,0.1,0.166666667,0.516129032,0.066666667,0.28,0,0,0,0.52,0,0.04,0,0.24,0.92,0.285714286,,0.214516129,0.285714286,0.166666667,0.8,0.966666667,0.266666667
27,2,11/02/2013,09/03/2020,2583,F,D,C,A,C,C,C,B,B,A,B,C,A,D,B,A,0.233,0.3,0.467,0.633,0.167,0.36,0.2,0.233,0.133,0.267,0.133,0.193,0.69,0.433,0.655,0.3,0.733,0.562,0,0.28,0.24,0.08,0.16,0.04,0.6,0.2,0.24,0.28,0.84,0.08,0,0.52,0.16,0.152,0.272,0.32,0.5,0.033333333,0.033333333,0.1,0.096774194,0.066666667,0.1,0.166666667,0.516129032,0.033333333,0.28,0,0,0.12,0.52,0.24,0.04,0,0.24,0,0.205714286,,0.197446237,0.205714286,0.533333333,0.8,0.966666667,0.133333333
28,2,19/06/2013,09/03/2020,2455,M,B,C,B,B,D,B,C,D,B,A,C,C,D,A,A,0.1,0.3,0.2,0.167,0.333,0.22,0.2,0.3,0.167,0.267,0.167,0.22,0.69,0.367,0.655,0.2,0.733,0.529,0.08,0.28,0.56,0.08,0.08,0.36,0.16,0,0.32,0.08,0.84,0.48,0,0.4,0.16,0.216,0.184,0.376,0.033333333,0.066666667,0.466666667,0.1,0.033333333,0.033333333,0.2,0.033333333,0.066666667,0.133333333,0,0.2,0,0,0.52,0,0,0,0.04,0.92,0.211428571,,0.079166667,0.211428571,0.533333333,0.8,0.966666667,0.266666667
29,2,15/12/2012,09/03/2020,2641,F,A,B,C,C,D,B,A,C,A,D,D,C,C,D,A,0.167,0.5,0.233,0.633,0.333,0.373,0.2,0.233,0.533,0.267,0.367,0.32,0.034,0.367,0.207,0.333,0.733,0.335,0.72,0.04,0.08,0.08,0.08,0.36,0.12,0.48,0.24,0.32,0,0.48,1,0.08,0.16,0.2,0.304,0.344,0.166666667,0.1,0.033333333,0.033333333,0.033333333,0.033333333,0.066666667,0.033333333,0.133333333,0.2,0.52,0.04,0.24,0,0,0.04,0.08,0,0.48,0,0.16,,0.0875,0.16,0.533333333,0.133333333,0.966666667,0.266666667
30,2,23/07/2013,09/03/2020,2421,M,C,C,A,C,A,B,C,B,C,C,B,D,C,D,A,0.5,0.3,0.467,0.633,0.333,0.447,0.2,0.3,0.133,0.233,0.333,0.24,0.276,0.133,0.207,0.333,0.733,0.337,0.2,0.28,0.24,0.08,0.56,0.36,0.16,0.2,0.04,0.32,0.16,0,1,0.08,0.16,0.272,0.216,0.28,0.133333333,0.066666667,0.033333333,0.1,0.033333333,0.033333333,0.033333333,0.166666667,0.516129032,0.033333333,0.04,0.2,0,0.12,0,0,0,0,0.24,0.04,0.062857143,,0.131182796,0.062857143,0.166666667,0.8,0.966666667,0.266666667
31,2,19/01/2013,09/03/2020,2606,F,C,B,A,C,A,D,B,C,D,D,C,C,C,C,A,0.5,0.5,0.467,0.633,0.333,0.487,0.467,0.233,0.533,0.233,0.367,0.367,0.69,0.367,0.207,0.167,0.733,0.433,0.2,0.04,0.24,0.08,0.56,0.48,0.6,0.48,0.4,0.32,0.84,0.48,1,0,0.16,0.224,0.456,0.496,0.133333333,0.266666667,0.466666667,0.2,0.166666667,0.033333333,0.066666667,0.166666667,0.516129032,0.266666667,0.04,0,0,0.4,0.52,0.04,0.04,0,0.24,0.92,0.314285714,,0.193682796,0.314285714,0.133333333,0.8,0.966666667,0.266666667
32,R,05/07/2015,09/03/2020,1709,F,C,A,C,C,A,A,B,D,C,C,C,A,D,A,A,0.24,0.12,0.16,0.8,0.64,0.392,0.28,0.36,0.375,0.36,0.28,0.331,0.68,0.2,0.64,0.24,0.76,0.504,0.2,0.52,0.08,0.08,0.56,0.12,0.6,0,0.04,0.32,0.84,0.08,0,0.4,0.16,0.288,0.216,0.296,0.16,0.04,0.08,0.04,0.04,0.2,0.12,0.08,0.28,0.042,0.12,0,0.04,0,0,0.04,0,0,0.48,0.04,,0.097142857,0.126,0.097142857,0.64,0.76,0.76,0.44
33,R,21/03/2015,09/03/2020,1815,F,D,C,A,C,A,B,B,A,A,A,C,C,D,D,A,0.44,0.32,0.64,0.8,0.64,0.568,0.36,0.36,0.167,0.16,0.2,0.249,0.68,0.4,0.64,0.36,0.76,0.568,0,0.28,0.24,0.08,0.56,0.36,0.6,0.32,0.24,0.08,0.84,0.48,0,0.08,0.16,0.232,0.32,0.312,0.28,0,0.04,0.28,0.24,0.28,0.04,0.08,0.52,0.25,0.52,0,0,0.4,0.52,0,0,0,0.24,0.92,,0.371428571,0.27,0.371428571,0.64,0.76,0.76,0.44
34,R,23/03/2015,09/03/2020,1813,F,C,C,A,C,A,B,B,B,B,B,B,B,C,D,A,0.24,0.32,0.64,0.8,0.64,0.528,0.36,0.36,0.292,0.28,0.2,0.298,0.2,0.28,0.32,0.36,0.76,0.384,0.2,0.28,0.24,0.08,0.56,0.36,0.6,0.2,0.32,0.28,0.16,0.44,1,0.08,0.16,0.272,0.352,0.368,0.16,0.04,0.08,0.28,0.12,0.04,0.04,0.08,0.52,0.25,0,0,0.04,0.4,0.04,0,0.04,0,0.24,0.92,,0.234285714,0.201428571,0.234285714,0.64,0.76,0.76,0.04
35,R,22/04/2015,09/03/2020,1783,M,B,B,C,C,B,A,D,C,C,D,C,A,D,A,A,0.28,0.4,0.16,0.8,0.08,0.344,0.28,0.16,0.167,0.36,0.32,0.257,0.68,0.2,0.64,0.24,0.76,0.504,0.08,0.04,0.08,0.08,0.2,0.12,0.12,0.48,0.04,0.32,0.84,0.08,0,0.4,0.16,0.096,0.216,0.296,0.28,0.08,0.04,0.4,0.16,0.2,0.04,0.04,0.28,0.167,0.52,0,0,0.44,0.52,0.08,0,0,0.48,0,,0.291428571,0.218142857,0.291428571,0.12,0.76,0.12,0.28
36,R,23/04/2015,09/03/2020,1782,F,A,B,A,C,C,C,B,D,D,D,C,A,D,D,B,0.04,0.4,0.64,0.8,0.08,0.392,0.12,0.36,0.375,0.2,0.32,0.275,0.68,0.2,0.64,0.36,0.08,0.392,0.72,0.04,0.24,0.08,0.16,0.04,0.6,0,0.4,0.32,0.84,0.08,0,0.08,0.12,0.248,0.272,0.224,0.16,0.08,0.04,0.2,0,0.2,0.12,0.04,0.04,0,0.12,0,0,0.12,0,0.08,0,0,0,0,,0.045714286,0.102857143,0.045714286,0.16,0.76,0.76,0.04
37,R,16/05/2015,09/03/2020,1759,M,D,D,A,C,A,B,C,C,A,A,C,B,D,B,A,0.44,0.16,0.64,0.8,0.64,0.536,0.36,0.16,0.167,0.16,0.2,0.209,0.68,0.28,0.64,0.16,0.76,0.504,0,0.16,0.24,0.08,0.56,0.36,0.16,0.48,0.24,0.08,0.84,0.44,0,0.52,0.16,0.208,0.264,0.392,0.08,0.08,0.04,0.4,0.24,0.12,0.12,0.12,0.52,0.167,0.04,0,0,0.44,0.52,0.2,0,0,0.24,0,,0.205714286,0.235285714,0.205714286,0.64,0.76,0.76,0.04
38,R,31/05/2015,09/03/2020,1744,M,C,B,A,C,A,A,B,C,A,C,C,C,D,D,A,0.24,0.4,0.64,0.8,0.64,0.544,0.28,0.36,0.167,0.16,0.28,0.249,0.68,0.4,0.64,0.36,0.76,0.568,0.2,0.04,0.24,0.08,0.56,0.12,0.6,0.48,0.24,0.32,0.84,0.48,0,0.08,0.16,0.224,0.352,0.312,0.04,0.04,0.04,0.4,0.04,0.2,0.12,0.12,0.28,0.083,0.04,0,0,0.44,0,0.04,0,0,0.48,0.04,,0.148571429,0.166142857,0.148571429,0.64,0.12,0.76,0.04
40,R,18/05/2015,09/03/2020,1757,M,D,B,B,C,A,A,C,A,A,C,C,C,D,D,D,0.44,0.4,0.08,0.8,0.64,0.472,0.28,0.16,0.167,0.16,0.28,0.209,0.68,0.4,0.64,0.36,0.12,0.44,0,0.04,0.56,0.08,0.56,0.12,0.16,0.32,0.24,0.32,0.84,0.48,0,0.08,0.44,0.248,0.232,0.368,0.04,0.04,0.04,0.4,0.04,0.2,0.12,0.08,0.28,0.25,0,0.04,0,0.44,0,0.04,0,0,0.48,0.92,,0.268571429,0.19,0.268571429,0.16,0.76,0.76,0.44
41,R,15/06/2015,09/03/2020,1729,F,D,B,A,C,A,B,D,B,B,C,D,D,D,D,A,0.44,0.4,0.64,0.8,0.64,0.584,0.36,0.16,0.292,0.28,0.28,0.274,0.08,0.12,0.64,0.36,0.76,0.392,0,0.04,0.24,0.08,0.56,0.36,0.12,0.2,0.32,0.32,0,0,0,0.08,0.16,0.184,0.264,0.048,0.16,0.04,0.04,0.2,0.12,0.2,0.08,0.04,0.52,0.125,0,0,0,0.12,0.04,0.04,0,0,0.24,0,,0.062857143,0.200714286,0.062857143,0.64,0.76,0.76,0.44
42,R,20/02/2015,10/03/2020,1845,M,D,D,A,C,A,C,A,B,D,C,C,C,C,C,A,0.44,0.16,0.64,0.8,0.64,0.536,0.12,0.32,0.292,0.2,0.28,0.242,0.68,0.4,0.32,0.24,0.76,0.48,0,0.16,0.24,0.08,0.56,0.04,0.12,0.2,0.4,0.32,0.84,0.48,1,0,0.16,0.208,0.216,0.496,0.28,0.04,0.08,0.2,0.04,0.04,0.04,0.08,0.04,0.042,0.52,0.04,0,0.12,0.04,0,0,0,0,0,,0.097142857,0.097428571,0.097142857,0.64,0.76,0.12,0.04
44,R,24/07/2015,10/03/2020,1691,M,C,B,A,C,D,B,C,A,B,C,B,B,D,C,A,0.24,0.4,0.64,0.8,0.2,0.456,0.36,0.16,0.167,0.28,0.28,0.249,0.2,0.28,0.64,0.24,0.76,0.424,0.2,0.04,0.24,0.08,0.08,0.36,0.16,0.32,0.32,0.32,0.16,0.44,0,0,0.16,0.128,0.296,0.152,0.16,0.04,0.08,0.28,0.16,0.2,0.12,0.04,0.28,0.083,0,0,0,0.4,0.52,0.08,0.08,0,0.48,0.92,,0.354285714,0.183285714,0.354285714,0.08,0.08,0.76,0.44
